fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color
7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7,r
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,r
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,w
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,w
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5,r
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5,r
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5,w
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5,w
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5,r
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5,r
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5,w
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5,w
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5,r
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5,r
7.5,0.58,0.2,2,0.073,34,44,0.99494,3.1,0.43,9.3,5,w
7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5,w
7.5,0.59,0.22,1.8,0.082,43,60,0.99499,3.1,0.42,9.2,5,r
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,r
7.5,0.61,0.2,1.7,0.076,36,60,0.99494,3.1,0.4,9.3,5,w
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,r
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,w
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,w
7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,6,r
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,w
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,r
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,r
7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,5,w
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,w
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6,r
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,w
7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6,r
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,r
7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6,w
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,w
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,w
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,r
7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,6,r
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6,w
7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6,r
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,w
7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6,r
7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,w
7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6,r
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,r
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6,w
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,r
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5,w
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,w
7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5,r
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,w
7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,7,r
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8,r
7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8,w
7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6,w
7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6,r
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,r
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,w
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,r
7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,6,w
7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,r
7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5,w
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6,r
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6,w
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,w
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,r
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,w
8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6,r
8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,r
8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6,w
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4,w
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4,r
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6,w
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6,r
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7,r
8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7,w
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,w
8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,7,r
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,r
8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,6,w
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,w
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,w
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,r
8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,6,r
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,w
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,r
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,w
8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,6,r
8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,r
8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6,w
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4,w
8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,4,r
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,w
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,r
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,w
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,r
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,r
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5,w
8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7,w
8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,7,r
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,w
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7,r
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,w
8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,7,r
8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,w
8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6,r
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,w
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,r
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,w
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5,r
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,r
8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,8,w
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,r
8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,5,w
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7,w
8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7,r
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,r
8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,6,w
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,w
8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,6,r
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4,w
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4,r
9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6,w
9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6,r
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6,r
9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,6,w
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,r
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5,w
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,r
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,w
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,r
9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5,w
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,r
9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,6,w
9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6,w
9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,6,r
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,w
9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6,r
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,r
9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5,w
9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,w
9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6,r
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,r
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6,w
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6,r
9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,6,w
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,r
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5,w
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,w
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5,r
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,r
9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,5,w
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,r
9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,5,w
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,w
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5,r
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,w
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5,r
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,r
10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,6,w
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,w
10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7,r
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,w
10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5,r
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,w
10.2,0.23,0.37,2.2,0.057,14,36,0.99614,3.23,0.49,9.3,4,r
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,w
10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,6,r
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,w
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6,r
10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,r
10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,5,w
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,w
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,6,r
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,r
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,r
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,w
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,w
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,r
10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,6,w
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,r
10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,6,w
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,r
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7,w
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,w
10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6,r
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6,w
