"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,5
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6
6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5
12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7
8.5,0.655,0.49,6.1,0.122,34,151,1.001,3.31,1.14,9.3,5
9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,5
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6
7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,7
10.6,0.44,0.68,4.1,0.114,6,24,0.997,3.06,0.66,13.4,6
7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,5
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5
8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,7
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6
8.4,0.59,0.29,2.6,0.109,31,119,0.99801,3.15,0.5,9.1,5
10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,3
10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5
7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,7
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,6
8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
8.7,0.765,0.22,2.3,0.064,9,42,0.9963,3.1,0.55,9.4,5
9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,5
9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,5
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,6
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
