"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6
8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,5
7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,6
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5
5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5
5.9,0.645,0.12,2,0.075,32,44,0.99547,3.57,0.71,10.2,5
9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.6,6
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
7.3,0.69,0.32,2.2,0.069,35,104,0.99632,3.33,0.51,9.5,5
6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,5
7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,6
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5
10,0.35,0.45,2.5,0.092,20,88,0.99918,3.15,0.43,9.4,5
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.5666666666667,7
9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,5
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
7.2,0.45,0.15,2,0.078,10,28,0.99609,3.29,0.51,9.9,6
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5
8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,6
8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,6
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,5
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5
6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5
5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,3
9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6
12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5
10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,6
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,6
9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,6
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,5
7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,5
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6
9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,5
9,0.44,0.49,2.4,0.078,26,121,0.9978,3.23,0.58,9.2,5
9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,5
9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,6
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6
6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,7
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,6
8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,5
13,0.47,0.49,4.3,0.085,6,47,1.0021,3.3,0.68,12.7,6
7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5
8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5
10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5
9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,6
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,5
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6
6.8,0.57,0,2.5,0.072,32,64,0.99491,3.43,0.56,11.2,6
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,4
8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,7
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5
11,0.26,0.68,2.55,0.085,10,25,0.997,3.18,0.61,11.8,5
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,5
12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,7
7.5,0.31,0.41,2.4,0.065,34,60,0.99492,3.34,0.85,11.4,6
9.1,0.47,0.49,2.6,0.094,38,106,0.9982,3.08,0.59,9.1,5
5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6
6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,7
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5
9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,5
11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,5
9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,4
15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,6
6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,6
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4
6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6
6.9,0.58,0.01,1.9,0.08,40,54,0.99683,3.4,0.73,9.7,5
8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,6
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,6
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5
9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,6
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5
9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,7
7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,5
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,6
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,6
6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5
6.2,0.57,0.1,2.1,0.048,4,11,0.99448,3.44,0.76,10.8,6
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,6
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6
6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5
7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6
6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,5
10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7
6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,5
8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,6
6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,5
7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,5
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7
6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4
8.8,0.46,0.45,2.6,0.065,7,18,0.9947,3.32,0.79,14,6
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5
11.1,0.18,0.48,1.5,0.068,7,15,0.9973,3.22,0.64,10.1,6
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
7.7,0.64,0.21,2.2,0.077,32,133,0.9956,3.27,0.45,9.9,5
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5
7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,7
7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,5
12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6
10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6
9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,5
13.7,0.415,0.68,2.9,0.085,17,43,1.0014,3.06,0.8,10,6
6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,5
13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
10.4,0.575,0.61,2.6,0.076,11,24,1,3.16,0.69,9,5
7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,5
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,6
7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5
9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,5
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5
11.5,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6
6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
